base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
CB,14F,161,close,4/20/2017,Apr-17,7:53,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,2,1,2,0,140
CB,14F,161,close,4/21/2017,Apr-17,12:10,12,Turdus albicollis,bird,bird,,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,3,1,1,1,50
CB,14F,161,close,4/23/2017,Apr-17,20:55,20,Rat,Rat,small rodent,granivore,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,4,1,1,1,60
CB,14F,161,close,4/24/2017,Apr-17,7:07,7,Turdus albicollis,bird,bird,,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,5,1,1,1,50
CB,14F,161,close,4/24/2017,Apr-17,10:28,10,Turdus albicollis,bird,bird,,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,5,1,1,0,50
CB,14F,161,close,4/30/2017,Apr-17,20:30,20,Platyrrincus mytaceus,bird,bird,insectivore,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,6,1,1,1,30
CB,15A,151,open,4/19/2017,Apr-17,0:38,0,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,1,1,1,1,9500
CB,15A,151,open,4/22/2017,Apr-17,0:10,0,marsupial,marsupial,marsupial,insectivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,2,1,1,1,200
CB,15A,151,open,4/22/2017,Apr-17,0:10,0,marsupial,marsupial,marsupial,insectivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,2,1,1,0,200
CB,15A,151,open,4/25/2017,Apr-17,0:44,0,marsupial,marsupial,marsupial,insectivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,3,1,1,1,200
CB,15A,151,open,1/5/2017,Apr-17,1:39,1,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,4,1,1,1,9500
CB,15A,151,open,1/5/2017,Apr-17,1:39,1,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,4,1,1,0,9500
CB,15A,151,open,1/5/2017,Apr-17,1:40,1,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,4,1,1,0,9500
CB,15A,151,open,1/5/2017,Apr-17,1:40,1,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,4,1,1,0,9500
CB,15A,151,open,4/5/2017,Apr-17,1:54,1,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,5,1,1,1,9500
CB,15A,151,open,4/5/2017,Apr-17,2:13,2,Marmosops incanus,Opossum,marsupial,onivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,6,1,1,1,60
CB,15A,151,open,4/5/2017,Apr-17,3:02,3,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,7,1,1,1,9500
CB,15A,151,open,11/5/2017,Apr-17,14:22,14,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 14:10,12/5/2017 9:15,36.79513889,883.0833333,8,1,1,1,2000
CB,15F,165,close,4/14/2017,Apr-17,7:32,7,Pyriglena leucoptera,bird,bird,insectivore,5/4/2017 14:11,12/5/2017 9:15,36.79444444,883.0666667,1,1,1,1,30
CB,15F,165,close,4/5/2017,Apr-17,1:56,1,Marmosops incanus,marsupial,marsupial,insectivore,5/4/2017 14:11,12/5/2017 9:15,36.79444444,883.0666667,2,1,1,1,60
CB,15F,165,close,4/5/2017,Apr-17,1:56,1,Marmosops incanus,marsupial,marsupial,insectivore,5/4/2017 14:11,12/5/2017 9:15,36.79444444,883.0666667,2,1,1,0,60
CB,15F,165,close,11/5/2017,Apr-17,21:17,21,Marmosops incanus,marsupial,marsupial,insectivore,5/4/2017 14:11,12/5/2017 9:15,36.79444444,883.0666667,3,1,1,1,60
CB,1A,166,open,7/4/2017,Apr-17,14:38,14,Chamaeza sp.,bird,bird,insectivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,1,1,1,1,70
CB,1A,166,open,7/4/2017,Apr-17,16:15,16,Chamaeza sp.,bird,bird,insectivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,1,1,1,0,70
CB,1A,166,open,8/4/2017,Apr-17,7:19,7,Odontophorus capoeira,bird,bird,granivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,2,3,3,1,1200
CB,1A,166,open,8/4/2017,Apr-17,7:19,7,Tinamus solitarius,Macuco,bird,granivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,2,3,3,0,6000
CB,1A,166,open,9/4/2017,Apr-17,9:35,9,Tinamus solitarius,Macuco,bird,granivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,3,1,1,1,2000
CB,1A,166,open,9/4/2017,Apr-17,9:35,9,Tinamus solitarius,Macuco,bird,granivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,3,1,1,0,2000
CB,1A,166,open,9/4/2017,Apr-17,12:08,12,Amadonastur lacernulatus,bird,bird,carnivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,4,1,1,1,300
CB,1A,166,open,9/4/2017,Apr-17,12:16,12,Amadonastur lacernulatus,bird,bird,carnivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,4,1,1,0,300
CB,1A,166,open,9/4/2017,Apr-17,12:16,12,Amadonastur lacernulatus,bird,bird,carnivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,4,1,1,0,300
CB,1A,166,open,10/4/2017,Apr-17,2:59,2,Metachirus nudicaudatus,Cuída-cauda-de-rato,marsupial,onivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,5,1,1,1,300
CB,1A,166,open,10/4/2017,Apr-17,4:55,4,Trinomys spp,Rat,Rodent,granivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,6,1,1,1,200
CB,1A,166,open,10/4/2017,Apr-17,5:08,5,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,7,1,1,1,300
CB,1A,166,open,11/4/2017,Apr-17,12:06,12,bird,bird,bird,,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,8,1,1,1,40
CB,1A,166,open,11/4/2017,Apr-17,12:11,12,bird,bird,bird,,7/4/2017 10:28,12/5/2017 13:07,35.11041667,842.65,8,1,1,0,40
